Value,CC_percent,Red,Green,Blue,R,G,B
-9999,NoData,0,0,0,0,0,0
0,Non-Forested,0.690196078,0.690196078,0.690196078,175.9999999,175.9999999,175.9999999
5,5 <= CC < 10,0.988235,0.019607843,0.839216,252,4.999999965,241
15,10 <=  CC < 20,0.917647059,1,0.749019608,234,255,191
17,10 <=  CC < 25,0.917647059,1,0.749019608,234,255,191
25,20 <=  CC < 30,0.733333333,0.901960784,0.584313725,186.9999999,229.9999999,148.9999999
35,30 <=  CC < 40,0.549019608,0.788235294,0.42745098,140,201,108.9999999
42,25 <= CC < 60,0.231372549,0.6,0.168627451,59,153,43.00000001
45,40 <=  CC < 50,0.384313725,0.690196078,0.290196078,97.99999988,175.9999999,73.99999989
55,50 <= CC < 60,0.231372549,0.6,0.168627451,59,153,43.00000001
65,60 <=  CC < 70,0,0.501960784,0,0,127.9999999,0
75,70 <=  CC < 80,0.058823529,0.360784314,0.043137255,14.9999999,92.00000007,11.00000003
80,60 <=  CC < 100,0,0.501960784,0,0,127.9999999,0
85,80 <=  CC < 90,0.066666667,0.239215686,0.047058824,17.00000009,60.99999993,12.00000012
95,90 <=  CC <= 100,0.062745098,0.141176471,0.047058824,15.99999999,36.00000011,12.00000012
