Value,Label,R,G,B,Red,Green,Blue
-9999,NODATA,0,0,0,0,0,0
1,0-5%,0,130,0,0,0.509803922,0
2,6-10%,19,143,0,0.074509804,0.560784314,0
3,11-15%,34,156,0,0.133333333,0.611764706,0
4,16-20%,52,166,0,0.203921569,0.650980392,0
5,21-25%,71,179,0,0.278431373,0.701960784,0
6,26-30%,102,191,0,0.4,0.749019608,0
7,31-35%,126,204,0,0.494117647,0.8,0
8,36-40%,155,217,0,0.607843137,0.850980392,0
9,41-45%,184,230,0,0.721568627,0.901960784,0
10,46-50%,226,242,0,0.88627451,0.949019608,0
11,51-55%,255,251,0,1,0.984313725,0
12,56-60%,250,221,0,0.980392157,0.866666667,0
13,61-65%,247,198,0,0.968627451,0.776470588,0
14,66-70%,245,163,0,0.960784314,0.639215686,0
15,71-75%,240,140,0,0.941176471,0.549019608,0
16,76-80%,235,113,0,0.921568627,0.443137255,0
17,81-85%,232,93,0,0.909803922,0.364705882,0
18,86-90%,230,61,0,0.901960784,0.239215686,0
19,91-95%,227,42,0,0.890196078,0.164705882,0
20,96-100%,222,18,0,0.870588235,0.070588235,0
111,Water,0,0,255,0,0,1
112,Snow / Ice,200,255,255,0.784313725,1,1
131,Barren,78,78,78,0.305882353,0.305882353,0.305882353
132,Sparsely Vegetated,178,178,178,0.698039216,0.698039216,0.698039216
133,Indeterminate Fire Regime,225,225,225,0.882352941,0.882352941,0.882352941
